"country_name","YearlySalary","wage_span","median_salary","average_salary","lowest_salary","highest_salary"
"Afghanistan","10244.880000000001","Monthly","853.74","1001.15","252.53","4460.97"
"Aland Islands","39830.88","Monthly","3319.24","3858.35","972.52","17124.74"
"Albania","9994.08","Monthly","832.84","956.92","241.22","4258.49"
"Algeria","13786.079999999998","Monthly","1148.84","1308.81","330.11","5824.18"
"American Samoa","16680.0","Monthly","1390","1570","400","6980"
"Andorra","44016.96","Monthly","3668.08","4069.77","1120.51","17653.28"
"Angola","3412.68","Monthly","284.39","314.39","79.32","1403.96"
"Antigua and Barbuda","18577.800000000003","Monthly","1548.15","1677.78","422.22","7444.44"
"Argentina","1323.3600000000001","Monthly","110.28","129.42","32.57","577.13"
"Armenia","20403.0","Monthly","1700.25","1974.32","497.39","8780.39"
"Aruba","13273.800000000001","Monthly","1106.15","1268.16","318.44","5642.46"
"Australia","51677.399999999994","Monthly","4306.45","4903.23","1236.13","21774.19"
"Austria","42875.28","Monthly","3572.94","4016.91","1014.8","17864.69"
"Azerbaijan","18705.84","Monthly","1558.82","1741.18","441.18","7764.71"
"Bahamas","42492.0","Monthly","3541.0","3908.0","983.0","17416.0"
"Bahrain","43404.24","Monthly","3617.02","3936.17","984.04","17553.19"
"Bangladesh","2622.84","Monthly","218.57","236.71","59.68","1052.06"
"Barbados","16740.0","Monthly","1395.0","1635.0","410.0","7250.0"
"Belarus","10194.0","Monthly","849.5","983.28","247.49","4381.27"
"Belgium","68752.68000000001","Monthly","5729.39","6522.2","1997.89","27378.44"
"Belize","20760.0","Monthly","1730.0","1965.0","495.0","8750.0"
"Benin","5859.0","Monthly","488.25","549.48","138.58","2449.28"
"Bermuda","17280.0","Monthly","1440.0","1600.0","400.0","7120.0"
"Bhutan","4887.12","Monthly","407.26","449.3","113.17","1994.23"
"Bolivia","13578.0","Monthly","1131.5","1236.99","312.14","5505.78"
"Bosnia and Herzegovina","13816.199999999999","Monthly","1151.35","1248.65","313.51","5567.57"
"Botswana","8752.68","Monthly","729.39","860.69","216.63","3822.03"
"Brazil","17880.48","Monthly","1490.04","1711.16","432.27","7609.56"
